date,FL504090005.Q,FL503034003.Q,FL502051003.Q,FL504022005.Q,FL503069105.Q,FL503063005.Q,FL503069805.Q,FL503064105.Q,FL503094505.Q,FL753194503.Q,FL663194505.Q,FL504190005.Q,FL504122005.Q,FL503169105.Q,FL503163005.Q,FL504123005.Q,FL713068505.Q,FL503169205.Q,FL503192003.Q,FL503190005.Q,FL663097005.Q,FL503194305.Q,FL503193005.Q
1945:Q4,25.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,119.00,0.00,0.00,119.00,119.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00,0.00,0.00,119.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,138.00,0.00,0.00,138.00,138.00,0.00,0.00,0.00,0.00,0.00,0.00,138.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.00,0.00,0.00,138.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,268.00,0.00,0.00,268.00,268.00,0.00,0.00,0.00,0.00,0.00,0.00,268.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,268.00,0.00,0.00,268.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,345.00,0.00,0.00,345.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,345.00,0.00,0.00,345.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,491.00,0.00,0.00,491.00,491.00,0.00,0.00,0.00,0.00,0.00,0.00,491.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,491.00,0.00,0.00,491.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
