1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,1151.00,1510.00,-3781.00,-134.00,1587.00,1969.00,1151.00,-1631.00,0.00,534.00,-3752.00,1587.00,2503.00,174.00,43.00,-164.00,1.00,0.00,2449.00,0.00,0.00,0.00,0.00,279.00,1151.00,4562.00,5177.00,-982.00,0.00,45.00,322.00,-3797.00,-1477.00,-4888.00,-34.00,3.00,2.00,304.00,462.00,332.00,87.00,493.00,0.00,49.00,100.00,0.00,204.00,0.00,0.00,0.00,-595.00,0.00,1161.00,386.00
1960:Q2,1852.00,148.00,-1672.00,631.00,1105.00,1640.00,1852.00,419.00,0.00,1011.00,-1697.00,1105.00,1308.00,13.00,3.00,654.00,2.00,0.00,636.00,0.00,0.00,0.00,0.00,125.00,1852.00,-930.00,567.00,-1849.00,0.00,-31.00,383.00,2884.00,1155.00,-504.00,1.00,7.00,2.00,231.00,333.00,279.00,685.00,379.00,0.00,71.00,57.00,0.00,-119.00,0.00,0.00,0.00,259.00,0.00,48.00,-102.00
1960:Q3,4954.00,390.00,1966.00,-447.00,1571.00,1474.00,4954.00,3993.00,0.00,1017.00,1405.00,1571.00,885.00,231.00,58.00,116.00,-2.00,0.00,482.00,0.00,0.00,0.00,0.00,76.00,4954.00,-1945.00,-688.00,-1694.00,0.00,-12.00,449.00,6553.00,160.00,4162.00,-18.00,8.00,2.00,189.00,571.00,353.00,102.00,281.00,0.00,87.00,51.00,0.00,13.00,0.00,0.00,0.00,509.00,0.00,83.00,346.00
1960:Q4,5992.00,131.00,2235.00,427.00,1047.00,2152.00,5992.00,4892.00,0.00,1314.00,2531.00,1047.00,1003.00,290.00,72.00,134.00,-3.00,0.00,510.00,0.00,0.00,0.00,0.00,97.00,5992.00,-1121.00,-640.00,-794.00,0.00,33.00,280.00,6839.00,550.00,4300.00,31.00,1.00,4.00,168.00,503.00,521.00,52.00,439.00,0.00,37.00,27.00,0.00,44.00,0.00,0.00,0.00,486.00,0.00,-324.00,274.00
1961:Q1,665.00,787.00,-2231.00,-236.00,1449.00,896.00,665.00,-321.00,0.00,215.00,-1985.00,1449.00,901.00,164.00,42.00,-482.00,0.00,0.00,1177.00,0.00,0.00,0.00,0.00,85.00,665.00,-1382.00,-984.00,-535.00,0.00,-1.00,138.00,2003.00,-615.00,599.00,141.00,4.00,4.00,198.00,680.00,130.00,51.00,555.00,0.00,48.00,68.00,0.00,263.00,0.00,0.00,0.00,-684.00,0.00,561.00,44.00
1961:Q2,4260.00,-101.00,1115.00,58.00,830.00,2358.00,4260.00,3723.00,0.00,2056.00,837.00,830.00,364.00,33.00,8.00,337.00,-1.00,0.00,-13.00,0.00,0.00,0.00,0.00,173.00,4260.00,87.00,137.00,-239.00,0.00,-23.00,212.00,4536.00,606.00,1574.00,41.00,2.00,5.00,227.00,527.00,398.00,786.00,443.00,0.00,-55.00,-19.00,0.00,-49.00,0.00,0.00,0.00,176.00,0.00,-126.00,-363.00
1961:Q3,8275.00,91.00,5400.00,322.00,1768.00,694.00,8275.00,7946.00,0.00,998.00,5180.00,1768.00,262.00,122.00,30.00,498.00,44.00,0.00,-432.00,0.00,0.00,0.00,0.00,67.00,8275.00,-332.00,751.00,-1292.00,0.00,24.00,185.00,7911.00,-125.00,6011.00,93.00,1.00,5.00,269.00,728.00,272.00,69.00,418.00,0.00,124.00,-28.00,0.00,-73.00,0.00,0.00,0.00,142.00,0.00,5.00,696.00
1961:Q4,7169.00,75.00,3291.00,866.00,1331.00,1606.00,7169.00,6632.00,0.00,1451.00,3850.00,1331.00,425.00,211.00,53.00,261.00,46.00,0.00,-146.00,0.00,0.00,0.00,0.00,112.00,7169.00,2200.00,1132.00,856.00,0.00,-2.00,214.00,4892.00,1866.00,1931.00,-186.00,-4.00,6.00,315.00,442.00,415.00,10.00,333.00,0.00,289.00,-22.00,0.00,-216.00,0.00,0.00,0.00,518.00,0.00,-805.00,77.00
1962:Q1,4802.00,842.00,377.00,698.00,1688.00,1197.00,4802.00,3227.00,0.00,863.00,676.00,1688.00,1374.00,-150.00,-37.00,377.00,22.00,0.00,1162.00,0.00,0.00,0.00,0.00,201.00,4802.00,713.00,208.00,565.00,0.00,3.00,-63.00,3876.00,-170.00,104.00,214.00,2.00,5.00,343.00,1020.00,274.00,48.00,644.00,0.00,-29.00,35.00,0.00,533.00,0.00,0.00,0.00,-191.00,0.00,1044.00,213.00
1962:Q2,3843.00,-8.00,571.00,414.00,1166.00,1700.00,3843.00,3295.00,0.00,1505.00,624.00,1166.00,233.00,-126.00,-32.00,337.00,24.00,0.00,30.00,0.00,0.00,0.00,0.00,315.00,3843.00,-1142.00,-234.00,-1172.00,0.00,-30.00,294.00,4543.00,853.00,997.00,283.00,2.00,4.00,409.00,664.00,452.00,854.00,418.00,0.00,-62.00,-42.00,0.00,-358.00,0.00,0.00,0.00,116.00,0.00,-47.00,442.00
1962:Q3,3519.00,651.00,1057.00,-10.00,1349.00,472.00,3519.00,2655.00,0.00,848.00,458.00,1349.00,770.00,-49.00,-12.00,552.00,37.00,0.00,242.00,0.00,0.00,0.00,0.00,94.00,3519.00,590.00,1311.00,-1133.00,0.00,-3.00,415.00,2269.00,-637.00,656.00,-124.00,3.00,5.00,401.00,785.00,200.00,15.00,423.00,0.00,242.00,-29.00,0.00,28.00,0.00,0.00,0.00,46.00,0.00,255.00,660.00
1962:Q4,9169.00,-205.00,5060.00,1078.00,1248.00,1988.00,9169.00,8018.00,0.00,920.00,5850.00,1248.00,767.00,298.00,74.00,248.00,40.00,0.00,107.00,0.00,0.00,0.00,0.00,384.00,9169.00,240.00,-916.00,495.00,0.00,-5.00,666.00,8511.00,1714.00,4632.00,-211.00,4.00,6.00,323.00,321.00,503.00,76.00,298.00,0.00,43.00,14.00,0.00,170.00,0.00,0.00,0.00,950.00,0.00,-332.00,418.00
1963:Q1,3934.00,1040.00,500.00,-624.00,1176.00,1842.00,3934.00,2829.00,0.00,952.00,701.00,1176.00,611.00,-49.00,-12.00,-865.00,40.00,0.00,1497.00,0.00,0.00,0.00,0.00,494.00,3934.00,1401.00,-3354.00,4172.00,0.00,10.00,573.00,2389.00,-164.00,160.00,17.00,14.00,10.00,250.00,849.00,380.00,49.00,417.00,0.00,3.00,122.00,0.00,440.00,0.00,0.00,0.00,-1041.00,0.00,883.00,144.00
1963:Q2,5087.00,261.00,776.00,697.00,1748.00,1605.00,5087.00,3163.00,0.00,889.00,526.00,1748.00,1417.00,87.00,22.00,905.00,42.00,0.00,361.00,0.00,0.00,0.00,0.00,507.00,5087.00,-381.00,-302.00,-415.00,0.00,49.00,287.00,4717.00,1484.00,-65.00,-34.00,23.00,12.00,188.00,478.00,432.00,952.00,631.00,0.00,-159.00,115.00,0.00,126.00,0.00,0.00,0.00,49.00,0.00,485.00,751.00
1963:Q3,2366.00,-55.00,337.00,133.00,1175.00,776.00,2366.00,1613.00,0.00,654.00,-216.00,1175.00,682.00,45.00,2.00,672.00,14.00,0.00,-51.00,0.00,0.00,0.00,0.00,71.00,2366.00,390.00,386.00,-323.00,0.00,-18.00,345.00,1638.00,173.00,-639.00,-233.00,21.00,12.00,167.00,655.00,447.00,73.00,475.00,0.00,232.00,123.00,0.00,-488.00,0.00,0.00,0.00,230.00,0.00,390.00,338.00
1963:Q4,7751.00,-213.00,3460.00,1271.00,1141.00,2092.00,7751.00,6078.00,0.00,1046.00,3891.00,1141.00,1752.00,344.00,37.00,824.00,16.00,0.00,531.00,0.00,0.00,0.00,0.00,-79.00,7751.00,2859.00,2148.00,475.00,0.00,-12.00,248.00,5029.00,1629.00,2318.00,-69.00,9.00,11.00,183.00,379.00,325.00,87.00,452.00,0.00,104.00,86.00,0.00,334.00,0.00,0.00,0.00,-281.00,0.00,-538.00,-137.00
1964:Q1,3716.00,1214.00,384.00,-676.00,1137.00,1657.00,3716.00,2047.00,0.00,657.00,253.00,1137.00,1780.00,358.00,43.00,-571.00,26.00,0.00,1924.00,0.00,0.00,0.00,0.00,-111.00,3716.00,2701.00,1546.00,1146.00,0.00,-8.00,17.00,1394.00,-429.00,-354.00,10.00,-1.00,8.00,192.00,695.00,447.00,108.00,716.00,0.00,71.00,134.00,0.00,-198.00,0.00,0.00,0.00,-442.00,0.00,437.00,-379.00
1964:Q2,4429.00,353.00,-573.00,890.00,1771.00,1988.00,4429.00,2538.00,0.00,1212.00,-445.00,1771.00,1739.00,151.00,9.00,732.00,30.00,0.00,817.00,0.00,0.00,0.00,0.00,152.00,4429.00,-4.00,443.00,-638.00,0.00,-7.00,198.00,4328.00,1294.00,-1434.00,-3.00,-9.00,6.00,187.00,412.00,371.00,911.00,727.00,0.00,198.00,46.00,0.00,46.00,0.00,0.00,0.00,778.00,0.00,798.00,105.00
1964:Q3,6510.00,459.00,3058.00,-56.00,1812.00,1237.00,6510.00,5571.00,0.00,888.00,2871.00,1812.00,983.00,166.00,5.00,110.00,21.00,0.00,681.00,0.00,0.00,0.00,0.00,-44.00,6510.00,713.00,1132.00,-926.00,0.00,6.00,501.00,5124.00,492.00,2996.00,141.00,-10.00,6.00,193.00,569.00,291.00,169.00,494.00,0.00,83.00,31.00,0.00,-205.00,0.00,0.00,0.00,307.00,0.00,-433.00,673.00
1964:Q4,9002.00,126.00,3547.00,1209.00,1400.00,2720.00,9002.00,7386.00,0.00,1394.00,4592.00,1400.00,1146.00,265.00,43.00,142.00,22.00,0.00,674.00,0.00,0.00,0.00,0.00,470.00,9002.00,1205.00,710.00,-219.00,0.00,-8.00,722.00,7181.00,1556.00,3955.00,-72.00,-11.00,5.00,215.00,204.00,680.00,61.00,374.00,0.00,22.00,17.00,0.00,-85.00,0.00,0.00,0.00,110.00,0.00,150.00,616.00
1965:Q1,3781.00,674.00,-165.00,257.00,1501.00,1514.00,3781.00,2078.00,0.00,656.00,-79.00,1501.00,1613.00,71.00,-12.00,119.00,52.00,0.00,1383.00,0.00,0.00,0.00,0.00,90.00,3781.00,2033.00,1500.00,199.00,0.00,6.00,328.00,2164.00,619.00,-2159.00,43.00,1.00,5.00,218.00,755.00,540.00,71.00,799.00,0.00,348.00,80.00,0.00,251.00,0.00,0.00,0.00,-570.00,0.00,1163.00,-416.00
1965:Q2,3070.00,356.00,-2108.00,890.00,2197.00,1735.00,3070.00,1226.00,0.00,1479.00,-2450.00,2197.00,1774.00,622.00,6.00,1178.00,54.00,0.00,-86.00,0.00,0.00,0.00,0.00,70.00,3070.00,-1316.00,-237.00,-1542.00,0.00,7.00,456.00,4681.00,1519.00,-738.00,-31.00,4.00,2.00,206.00,426.00,259.00,1070.00,635.00,0.00,-96.00,-19.00,0.00,-81.00,0.00,0.00,0.00,1028.00,0.00,497.00,-295.00
1965:Q3,3761.00,319.00,-1104.00,860.00,2047.00,1639.00,3761.00,3137.00,0.00,1892.00,-802.00,2047.00,482.00,-6.00,-9.00,491.00,67.00,0.00,-61.00,0.00,0.00,0.00,0.00,142.00,3761.00,1938.00,1550.00,-350.00,0.00,22.00,716.00,1452.00,577.00,464.00,83.00,6.00,5.00,246.00,770.00,137.00,178.00,407.00,0.00,373.00,-28.00,0.00,-100.00,0.00,0.00,0.00,-1411.00,0.00,-255.00,371.00
1965:Q4,9085.00,-484.00,5853.00,595.00,1492.00,1629.00,9085.00,8244.00,0.00,497.00,6255.00,1492.00,683.00,136.00,16.00,121.00,72.00,0.00,338.00,0.00,0.00,0.00,0.00,158.00,9085.00,1048.00,-347.00,594.00,0.00,-2.00,803.00,7220.00,1273.00,4060.00,24.00,7.00,15.00,337.00,238.00,362.00,-4.00,419.00,0.00,39.00,-23.00,0.00,64.00,0.00,0.00,0.00,728.00,0.00,-319.00,817.00
1966:Q1,8499.00,1730.00,127.00,1484.00,1445.00,3713.00,8499.00,4998.00,0.00,2986.00,567.00,1445.00,3142.00,40.00,-1.00,964.00,80.00,0.00,2059.00,0.00,0.00,0.00,0.00,359.00,8499.00,7914.00,6748.00,861.00,0.00,22.00,283.00,1148.00,-327.00,-2253.00,-45.00,15.00,25.00,272.00,1268.00,988.00,23.00,842.00,0.00,447.00,52.00,0.00,-20.00,0.00,0.00,0.00,-844.00,0.00,705.00,-563.00
1966:Q2,4827.00,89.00,-4753.00,4173.00,2299.00,3019.00,4827.00,1673.00,0.00,2608.00,-3234.00,2299.00,3019.00,86.00,7.00,2570.00,84.00,0.00,272.00,0.00,0.00,0.00,0.00,135.00,4827.00,674.00,1753.00,-1372.00,0.00,39.00,254.00,3918.00,1681.00,-1586.00,-71.00,21.00,36.00,396.00,125.00,330.00,1088.00,584.00,0.00,270.00,-31.00,0.00,311.00,0.00,0.00,0.00,698.00,0.00,66.00,235.00
1966:Q3,7584.00,982.00,2097.00,158.00,1383.00,2964.00,7584.00,5811.00,0.00,3038.00,1390.00,1383.00,1666.00,-40.00,-10.00,731.00,134.00,0.00,851.00,0.00,0.00,0.00,0.00,107.00,7584.00,4526.00,5352.00,-906.00,0.00,441.00,-361.00,2934.00,-322.00,444.00,141.00,22.00,38.00,409.00,338.00,397.00,100.00,896.00,0.00,372.00,-26.00,0.00,-112.00,0.00,0.00,0.00,-708.00,0.00,945.00,124.00
1966:Q4,12847.00,1757.00,6085.00,1043.00,1109.00,2853.00,12847.00,9704.00,0.00,2407.00,6188.00,1109.00,3009.00,188.00,47.00,793.00,147.00,0.00,1834.00,0.00,0.00,0.00,0.00,134.00,12847.00,2558.00,1901.00,233.00,0.00,808.00,-384.00,10209.00,2139.00,2720.00,22.00,15.00,30.00,386.00,332.00,570.00,42.00,595.00,0.00,169.00,-12.00,0.00,756.00,0.00,0.00,0.00,1640.00,0.00,805.00,80.00
1967:Q1,9920.00,2950.00,1022.00,984.00,1232.00,3732.00,9920.00,7916.00,0.00,4198.00,2486.00,1232.00,1715.00,285.00,20.00,-646.00,166.00,0.00,1890.00,0.00,0.00,0.00,0.00,289.00,9920.00,-2126.00,-1785.00,-494.00,0.00,414.00,-261.00,11428.00,305.00,6602.00,40.00,22.00,23.00,369.00,939.00,246.00,-52.00,488.00,0.00,-284.00,73.00,0.00,987.00,0.00,0.00,0.00,144.00,0.00,1526.00,618.00
1967:Q2,-1058.00,545.00,-8559.00,1146.00,2321.00,3489.00,-1058.00,-443.00,0.00,4184.00,-6948.00,2321.00,-852.00,368.00,86.00,-645.00,180.00,0.00,-841.00,0.00,0.00,0.00,0.00,237.00,-1058.00,-7281.00,-4448.00,-2744.00,0.00,-32.00,-57.00,5842.00,2326.00,1901.00,33.00,22.00,17.00,325.00,785.00,-32.00,1118.00,675.00,0.00,-472.00,6.00,0.00,157.00,0.00,0.00,0.00,-1039.00,0.00,20.00,381.00
1967:Q3,15764.00,162.00,8595.00,-223.00,2124.00,5106.00,15764.00,15069.00,0.00,4531.00,8414.00,2124.00,306.00,47.00,3.00,-203.00,161.00,0.00,298.00,0.00,0.00,0.00,0.00,389.00,15764.00,3953.00,4435.00,-341.00,50.00,-392.00,201.00,11080.00,107.00,9538.00,202.00,22.00,18.00,337.00,1263.00,358.00,31.00,733.00,0.00,-218.00,20.00,0.00,-822.00,0.00,0.00,0.00,292.00,0.00,-801.00,731.00
1967:Q4,17972.00,504.00,9111.00,2368.00,1474.00,4515.00,17972.00,15003.00,0.00,3157.00,10372.00,1474.00,2668.00,146.00,35.00,940.00,167.00,0.00,1380.00,0.00,0.00,0.00,0.00,301.00,17972.00,5151.00,3149.00,1878.00,50.00,-78.00,152.00,11775.00,2593.00,5439.00,137.00,21.00,24.00,385.00,564.00,126.00,218.00,949.00,0.00,164.00,46.00,0.00,-298.00,0.00,0.00,0.00,256.00,0.00,1151.00,1046.00
1968:Q1,13634.00,2061.00,5383.00,1650.00,1485.00,3055.00,13634.00,10275.00,0.00,3050.00,5740.00,1485.00,3056.00,15.00,4.00,1112.00,181.00,0.00,1744.00,0.00,0.00,0.00,0.00,303.00,13634.00,6019.00,2984.00,2372.00,50.00,-16.00,629.00,7775.00,540.00,2609.00,31.00,13.00,33.00,446.00,1425.00,624.00,42.00,541.00,0.00,609.00,82.00,0.00,164.00,0.00,0.00,0.00,-379.00,0.00,995.00,-160.00
1968:Q2,5256.00,334.00,-3319.00,2505.00,2149.00,3587.00,5256.00,3197.00,0.00,3446.00,-2398.00,2149.00,1999.00,136.00,-10.00,1394.00,190.00,0.00,289.00,0.00,0.00,0.00,0.00,60.00,5256.00,1916.00,1720.00,-939.00,50.00,407.00,678.00,3871.00,2769.00,-1627.00,-8.00,8.00,35.00,504.00,663.00,14.00,1269.00,781.00,0.00,-592.00,128.00,0.00,161.00,0.00,0.00,0.00,-204.00,0.00,-30.00,-531.00
1968:Q3,14967.00,1506.00,6733.00,1259.00,1996.00,3473.00,14967.00,14577.00,0.00,4829.00,7752.00,1996.00,156.00,116.00,8.00,155.00,85.00,0.00,-208.00,0.00,0.00,0.00,0.00,234.00,14967.00,1037.00,659.00,-789.00,50.00,-17.00,1134.00,12553.00,90.00,7677.00,-4.00,7.00,42.00,510.00,892.00,188.00,-9.00,759.00,0.00,328.00,123.00,0.00,-413.00,0.00,0.00,0.00,1906.00,0.00,457.00,1377.00
1968:Q4,11050.00,299.00,1966.00,1513.00,2813.00,4459.00,11050.00,8425.00,0.00,2783.00,2829.00,2813.00,2138.00,81.00,20.00,568.00,82.00,0.00,1387.00,0.00,0.00,0.00,0.00,487.00,11050.00,1312.00,-1452.00,1759.00,50.00,-240.00,1195.00,7855.00,541.00,5305.00,-47.00,34.00,53.00,462.00,660.00,251.00,34.00,920.00,0.00,-526.00,66.00,0.00,-32.00,0.00,0.00,0.00,-677.00,0.00,811.00,1883.00
1969:Q1,11493.00,3288.00,-31.00,1451.00,3671.00,3114.00,11493.00,7920.00,0.00,4068.00,181.00,3671.00,3256.00,-95.00,8.00,1149.00,90.00,0.00,1904.00,0.00,0.00,200.00,0.00,317.00,11493.00,14037.00,11005.00,1702.00,50.00,-299.00,1579.00,-1914.00,-906.00,-4012.00,40.00,15.00,66.00,417.00,1323.00,-27.00,127.00,796.00,0.00,1033.00,114.00,0.00,-268.00,0.00,0.00,0.00,-1711.00,0.00,1079.00,-630.00
1969:Q2,410.00,2798.00,-10868.00,1907.00,3540.00,3033.00,410.00,-4522.00,0.00,3315.00,-11377.00,3540.00,4727.00,248.00,84.00,2331.00,85.00,0.00,914.00,20.00,0.00,1045.00,0.00,205.00,410.00,-3002.00,-2085.00,-1320.00,50.00,-630.00,983.00,3135.00,2047.00,-3621.00,23.00,14.00,80.00,291.00,169.00,-158.00,1116.00,948.00,0.00,-401.00,-3.00,0.00,60.00,0.00,0.00,0.00,1028.00,0.00,1542.00,277.00
1969:Q3,18503.00,4032.00,6498.00,1281.00,2711.00,3981.00,18503.00,11133.00,0.00,3588.00,4834.00,2711.00,6955.00,290.00,71.00,2697.00,248.00,0.00,2235.00,64.00,0.00,1350.00,0.00,415.00,18503.00,13306.00,14622.00,-2045.00,50.00,-118.00,797.00,2517.00,-108.00,-2298.00,58.00,15.00,85.00,453.00,631.00,589.00,305.00,1100.00,0.00,574.00,-39.00,0.00,-619.00,0.00,0.00,0.00,-764.00,0.00,2535.00,2680.00
1969:Q4,15665.00,2343.00,5150.00,2801.00,1464.00,3907.00,15665.00,8382.00,0.00,2111.00,4807.00,1464.00,7192.00,200.00,44.00,2889.00,255.00,0.00,2094.00,11.00,0.00,1699.00,0.00,91.00,15665.00,8469.00,7392.00,139.00,50.00,-250.00,1138.00,8965.00,3190.00,579.00,90.00,18.00,85.00,451.00,244.00,244.00,-29.00,771.00,0.00,-189.00,-84.00,0.00,239.00,0.00,0.00,0.00,1583.00,0.00,1773.00,-1769.00
1970:Q1,16575.00,5584.00,2424.00,3476.00,2140.00,2951.00,16575.00,8869.00,0.00,4757.00,1972.00,2140.00,7424.00,-57.00,-20.00,3633.00,295.00,0.00,245.00,207.00,0.00,3121.00,0.00,282.00,16575.00,8597.00,8244.00,-188.00,50.00,16.00,475.00,5636.00,-1521.00,-1281.00,-250.00,11.00,86.00,772.00,891.00,253.00,38.00,960.00,0.00,444.00,-153.00,0.00,1254.00,0.00,0.00,0.00,-234.00,0.00,4366.00,2342.00
1970:Q2,7943.00,1295.00,-3920.00,1272.00,3340.00,5956.00,7943.00,4513.00,0.00,5579.00,-4406.00,3340.00,3488.00,534.00,126.00,1544.00,214.00,0.00,-194.00,98.00,0.00,1166.00,0.00,-58.00,7943.00,-5771.00,-7356.00,1471.00,50.00,-3.00,67.00,11031.00,2049.00,4324.00,97.00,5.00,92.00,762.00,282.00,118.00,1725.00,830.00,0.00,1349.00,-250.00,0.00,-649.00,0.00,0.00,0.00,-1085.00,0.00,1382.00,2683.00
1970:Q3,14695.00,-3838.00,7609.00,1913.00,2584.00,6427.00,14695.00,15920.00,0.00,5826.00,7510.00,2584.00,-1621.00,-84.00,-26.00,1593.00,419.00,0.00,-614.00,0.00,0.00,-2909.00,0.00,396.00,14695.00,508.00,1978.00,-545.00,50.00,-4.00,-971.00,11172.00,2396.00,9970.00,255.00,8.00,89.00,1043.00,1260.00,922.00,136.00,1333.00,0.00,-731.00,-232.00,0.00,-234.00,0.00,0.00,0.00,1499.00,0.00,-6542.00,3015.00
1970:Q4,22339.00,-947.00,9364.00,2166.00,3919.00,7837.00,22339.00,18733.00,0.00,5371.00,9443.00,3919.00,3352.00,1003.00,245.00,1464.00,623.00,0.00,2040.00,200.00,0.00,-2223.00,0.00,254.00,22339.00,-2031.00,-721.00,568.00,50.00,-106.00,-1822.00,20614.00,2057.00,13815.00,607.00,13.00,76.00,1216.00,-40.00,774.00,482.00,666.00,0.00,-478.00,-99.00,0.00,729.00,0.00,0.00,0.00,2153.00,0.00,-1357.00,3756.00
1971:Q1,13568.00,-260.00,2786.00,-536.00,4245.00,7333.00,13568.00,12990.00,0.00,6666.00,2079.00,4245.00,296.00,508.00,23.00,-1031.00,1202.00,0.00,-883.00,115.00,0.00,362.00,0.00,282.00,13568.00,-4840.00,-2903.00,107.00,50.00,0.00,-2094.00,12927.00,1934.00,10369.00,-532.00,86.00,59.00,951.00,2004.00,-700.00,198.00,926.00,0.00,-261.00,94.00,0.00,1107.00,0.00,0.00,0.00,-1483.00,0.00,-1825.00,5481.00
1971:Q2,13301.00,-1317.00,3784.00,456.00,4240.00,6138.00,13301.00,11711.00,0.00,3942.00,3549.00,4220.00,1322.00,469.00,95.00,-924.00,1615.00,0.00,-237.00,264.00,0.00,40.00,0.00,268.00,13301.00,-2056.00,-2577.00,1362.00,50.00,-7.00,-884.00,8122.00,797.00,6472.00,-244.00,38.00,38.00,953.00,1401.00,-822.00,1857.00,758.00,0.00,-157.00,161.00,0.00,-839.00,0.00,0.00,0.00,-1126.00,0.00,-1165.00,7235.00
1971:Q3,21777.00,1288.00,9579.00,2067.00,3942.00,4901.00,21777.00,17241.00,0.00,4194.00,9138.00,3909.00,4224.00,543.00,102.00,1711.00,797.00,0.00,652.00,228.00,0.00,191.00,0.00,312.00,21777.00,5522.00,5678.00,23.00,60.00,0.00,-239.00,5773.00,1872.00,1970.00,77.00,45.00,43.00,952.00,1753.00,-424.00,231.00,639.00,0.00,-374.00,190.00,0.00,-1032.00,0.00,0.00,0.00,185.00,0.00,-354.00,10482.00
1971:Q4,25576.00,183.00,12691.00,2866.00,3724.00,6112.00,25576.00,19920.00,0.00,3205.00,13024.00,3691.00,5578.00,6.00,-52.00,1386.00,1147.00,0.00,2333.00,589.00,0.00,169.00,0.00,78.00,25576.00,453.00,-3922.00,3870.00,40.00,25.00,440.00,20434.00,2759.00,11328.00,48.00,10.00,76.00,943.00,874.00,820.00,557.00,583.00,0.00,586.00,123.00,0.00,218.00,0.00,0.00,0.00,1063.00,0.00,446.00,4689.00
1972:Q1,16177.00,1586.00,3900.00,1542.00,4155.00,4994.00,16177.00,12207.00,0.00,4106.00,3986.00,4115.00,3487.00,574.00,19.00,430.00,1026.00,0.00,128.00,678.00,0.00,632.00,0.00,483.00,16177.00,2089.00,1840.00,-575.00,50.00,-21.00,795.00,10867.00,187.00,4653.00,320.00,16.00,107.00,953.00,2716.00,852.00,-82.00,1060.00,0.00,311.00,152.00,0.00,1595.00,0.00,0.00,0.00,-1326.00,0.00,-647.00,3221.00
1972:Q2,8125.00,-174.00,-3873.00,2625.00,3551.00,5996.00,8125.00,4063.00,0.00,4567.00,-3888.00,3384.00,3640.00,-603.00,-185.00,1434.00,1206.00,0.00,709.00,743.00,0.00,336.00,0.00,422.00,8125.00,-1852.00,-1947.00,-941.00,50.00,-1.00,987.00,8945.00,2097.00,1708.00,-81.00,-3.00,137.00,976.00,1319.00,1631.00,2134.00,1060.00,0.00,-84.00,39.00,0.00,-906.00,0.00,0.00,0.00,-13.00,0.00,-1069.00,1032.00
1972:Q3,14050.00,-826.00,4748.00,2197.00,3584.00,4347.00,14050.00,11466.00,0.00,2845.00,5210.00,3411.00,2712.00,-241.00,-94.00,668.00,1067.00,0.00,-328.00,713.00,0.00,927.00,0.00,-128.00,14050.00,3228.00,1372.00,339.00,50.00,0.00,1467.00,6345.00,-2137.00,2987.00,256.00,137.00,146.00,944.00,2798.00,2467.00,270.00,1077.00,0.00,421.00,35.00,0.00,-773.00,0.00,0.00,0.00,266.00,0.00,-2549.00,4477.00
1972:Q4,24542.00,1008.00,12417.00,2944.00,2876.00,5297.00,24542.00,17429.00,0.00,1938.00,12783.00,2708.00,6860.00,607.00,59.00,989.00,1589.00,0.00,2233.00,700.00,0.00,683.00,0.00,253.00,24542.00,4259.00,-964.00,3086.00,50.00,5.00,2082.00,18682.00,1481.00,11087.00,-141.00,128.00,131.00,853.00,481.00,1523.00,671.00,1173.00,0.00,-146.00,68.00,0.00,-717.00,0.00,0.00,0.00,2389.00,0.00,-299.00,1601.00
1973:Q1,16916.00,-708.00,7761.00,3021.00,3548.00,3294.00,16916.00,11925.00,61.00,676.00,8022.00,3166.00,4858.00,-100.00,-7.00,2004.00,756.00,0.00,1068.00,10.00,0.00,1127.00,0.00,133.00,16916.00,6015.00,5458.00,-1600.00,33.00,5.00,2119.00,2765.00,4058.00,-5166.00,81.00,-77.00,121.00,870.00,3429.00,2168.00,-182.00,1227.00,0.00,441.00,193.00,0.00,-564.00,0.00,0.00,0.00,-2038.00,0.00,-1796.00,8136.00
1973:Q2,11684.00,2115.00,-3908.00,6076.00,3667.00,3734.00,11684.00,2550.00,83.00,3743.00,-4325.00,3049.00,8984.00,205.00,76.00,5038.00,1455.00,0.00,971.00,199.00,0.00,1040.00,0.00,150.00,11684.00,3587.00,1613.00,-225.00,28.00,-7.00,2178.00,10417.00,1190.00,-259.00,321.00,-77.00,124.00,810.00,1011.00,1238.00,2315.00,1286.00,0.00,124.00,156.00,0.00,-499.00,0.00,0.00,0.00,667.00,0.00,2010.00,-2320.00
