date,FU893190005.Q,FU543077073.Q,FU103190005.Q,FU113193003.Q,FU313190005.Q,FU223073045.Q,FU713190005.Q,FU763190005.Q,FU753190005.Q,FU743193005.Q,FU473193005.Q,FU513190005.Q,FU543190005.Q,FU403190005.Q,FU613190005.Q,FU643193005.Q,FU663190005.Q,FU733193005.Q,FU503190005.Q,FU263190005.Q,FU893090005.Q,FU153090005.Q,FU103090005.Q,FU113090005.Q,FU213093003.Q,FU313090005.Q,FU713090005.Q,FU763090005.Q,FU753093005.Q,FU743093005.Q,FU473090005.Q,FU513090005.Q,FU543090005.Q,FU573090005.Q,FU343073005.Q,FU223090005.Q,FU633093005.Q,FU653093005.Q,FU563093003.Q,FU403093005.Q,FU673090543.Q,FU613090005.Q,FU643090005.Q,FU663090005.Q,FU733090005.Q,FU503094505.Q,FU903090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6013.00,65.00,442.00,0.00,3487.00,613.00,-74.00,374.00,0.00,-21.00,8.00,716.00,299.00,-265.00,159.00,0.00,-11.00,0.00,94.00,127.00,4120.00,803.00,-47.00,196.00,0.00,67.00,-19.00,-2278.00,0.00,44.00,-1.00,0.00,72.00,1088.00,3522.00,613.00,0.00,0.00,0.00,-26.00,0.00,90.00,0.00,-4.00,0.00,0.00,1893.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6036.00,81.00,551.00,0.00,2356.00,771.00,249.00,126.00,0.00,-2.00,7.00,824.00,394.00,23.00,225.00,0.00,-18.00,0.00,19.00,430.00,6263.00,538.00,663.00,241.00,0.00,403.00,69.00,-391.00,0.00,53.00,-2.00,0.00,66.00,1217.00,2612.00,771.00,0.00,0.00,0.00,-25.00,0.00,54.00,0.00,-6.00,0.00,0.00,-227.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5221.00,51.00,601.00,0.00,2524.00,913.00,-1.00,58.00,0.00,-8.00,12.00,739.00,264.00,49.00,-15.00,0.00,-8.00,0.00,130.00,-88.00,5545.00,395.00,834.00,224.00,0.00,-85.00,31.00,-694.00,0.00,-40.00,-2.00,0.00,137.00,1065.00,2810.00,913.00,0.00,0.00,0.00,-12.00,0.00,-23.00,0.00,-8.00,0.00,0.00,-324.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,5938.00,69.00,477.00,0.00,2462.00,1024.00,193.00,207.00,0.00,-8.00,16.00,651.00,386.00,64.00,166.00,0.00,-19.00,0.00,77.00,173.00,6476.00,370.00,662.00,175.00,0.00,149.00,-46.00,158.00,0.00,14.00,-2.00,0.00,88.00,907.00,2922.00,1024.00,0.00,0.00,0.00,3.00,0.00,60.00,0.00,-8.00,0.00,0.00,-538.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,8154.00,103.00,1202.00,0.00,3688.00,1031.00,356.00,468.00,0.00,-16.00,21.00,519.00,273.00,75.00,260.00,0.00,-7.00,0.00,146.00,35.00,7384.00,335.00,560.00,122.00,0.00,-5.00,25.00,301.00,0.00,44.00,-4.00,0.00,243.00,648.00,3945.00,1031.00,0.00,0.00,0.00,1.00,0.00,148.00,0.00,-10.00,0.00,0.00,770.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,8486.00,79.00,302.00,0.00,5539.00,1117.00,-433.00,98.00,0.00,36.00,25.00,882.00,388.00,164.00,-77.00,0.00,-8.00,0.00,371.00,3.00,12014.00,584.00,962.00,209.00,0.00,-53.00,17.00,-182.00,0.00,3.00,-5.00,0.00,183.00,3725.00,5581.00,1117.00,0.00,0.00,0.00,-3.00,0.00,-112.00,0.00,-12.00,0.00,0.00,-3528.00
1952:Q1,2869.00,19.00,260.00,0.00,1562.00,246.00,-163.00,195.00,2.00,2.00,6.00,244.00,116.00,73.00,133.00,0.00,-12.00,0.00,192.00,-6.00,3613.00,180.00,273.00,66.00,31.00,-6.00,29.00,201.00,32.00,2.00,-1.00,0.00,44.00,643.00,1641.00,246.00,0.00,0.00,0.00,112.00,0.00,117.00,0.00,3.00,0.00,0.00,-744.00
1952:Q2,2504.00,18.00,246.00,0.00,1289.00,322.00,103.00,93.00,10.00,-1.00,7.00,261.00,180.00,-42.00,122.00,0.00,-2.00,0.00,-96.00,-6.00,3185.00,177.00,146.00,75.00,97.00,-6.00,27.00,121.00,16.00,2.00,-2.00,0.00,40.00,738.00,1389.00,322.00,0.00,0.00,0.00,2.00,0.00,28.00,0.00,13.00,0.00,0.00,-681.00
1952:Q3,2359.00,19.00,144.00,0.00,1313.00,178.00,-141.00,284.00,1.00,-1.00,8.00,260.00,159.00,-58.00,99.00,0.00,-42.00,0.00,149.00,-13.00,3226.00,178.00,378.00,76.00,116.00,-13.00,74.00,75.00,-9.00,2.00,-2.00,0.00,39.00,695.00,1395.00,178.00,0.00,0.00,0.00,4.00,0.00,53.00,0.00,-13.00,0.00,0.00,-867.00
1952:Q4,2924.00,20.00,205.00,0.00,1708.00,331.00,304.00,-186.00,-10.00,-3.00,7.00,239.00,158.00,56.00,98.00,0.00,-13.00,0.00,-1.00,11.00,3502.00,202.00,238.00,71.00,117.00,11.00,-100.00,186.00,-11.00,3.00,-2.00,0.00,34.00,705.00,1790.00,331.00,0.00,0.00,0.00,-141.00,0.00,20.00,0.00,48.00,0.00,0.00,-578.00
1953:Q1,2588.00,22.00,-225.00,0.00,1703.00,252.00,-93.00,221.00,-18.00,0.00,6.00,224.00,161.00,130.00,-27.00,0.00,-13.00,0.00,234.00,11.00,3379.00,181.00,353.00,67.00,-116.00,11.00,17.00,-115.00,190.00,-1.00,-1.00,0.00,35.00,762.00,1750.00,252.00,0.00,0.00,0.00,148.00,0.00,-121.00,0.00,-32.00,0.00,0.00,-791.00
1953:Q2,2279.00,23.00,229.00,0.00,1440.00,168.00,-150.00,106.00,24.00,0.00,8.00,215.00,150.00,29.00,142.00,0.00,-15.00,0.00,-67.00,-22.00,2871.00,167.00,306.00,64.00,-109.00,-22.00,-76.00,209.00,-238.00,-4.00,-3.00,0.00,31.00,849.00,1506.00,168.00,0.00,0.00,0.00,-1.00,0.00,56.00,0.00,-31.00,0.00,0.00,-592.00
1953:Q3,3154.00,24.00,82.00,0.00,1721.00,198.00,162.00,366.00,-1.00,1.00,9.00,202.00,110.00,-6.00,130.00,0.00,-14.00,0.00,174.00,-4.00,3768.00,150.00,419.00,67.00,137.00,-4.00,96.00,-59.00,-16.00,-1.00,-2.00,0.00,33.00,892.00,1767.00,198.00,0.00,0.00,0.00,5.00,0.00,112.00,0.00,-25.00,0.00,0.00,-615.00
1953:Q4,2121.00,23.00,210.00,0.00,1750.00,350.00,129.00,-555.00,-12.00,1.00,13.00,184.00,96.00,84.00,-76.00,0.00,-4.00,0.00,-73.00,2.00,3850.00,147.00,127.00,66.00,124.00,2.00,-39.00,404.00,-26.00,1.00,-2.00,0.00,36.00,847.00,1831.00,350.00,0.00,0.00,0.00,-5.00,0.00,-43.00,0.00,31.00,0.00,0.00,-1729.00
1954:Q1,2694.00,21.00,-203.00,0.00,1772.00,191.00,-114.00,236.00,-3.00,0.00,17.00,160.00,224.00,235.00,74.00,0.00,-15.00,0.00,124.00,-25.00,3206.00,115.00,320.00,66.00,-130.00,-33.00,14.00,-18.00,34.00,4.00,-1.00,0.00,43.00,705.00,1816.00,191.00,0.00,0.00,0.00,6.00,0.00,25.00,0.00,49.00,0.00,0.00,-511.00
1954:Q2,2622.00,19.00,326.00,0.00,1478.00,190.00,7.00,148.00,-2.00,-2.00,16.00,131.00,226.00,44.00,116.00,0.00,-4.00,0.00,-130.00,59.00,3189.00,79.00,140.00,67.00,-146.00,38.00,-69.00,583.00,22.00,4.00,-3.00,0.00,47.00,595.00,1554.00,190.00,0.00,0.00,0.00,18.00,0.00,27.00,0.00,43.00,0.00,0.00,-567.00
1954:Q3,3327.00,21.00,262.00,0.00,1877.00,317.00,12.00,501.00,-6.00,0.00,16.00,128.00,122.00,-45.00,65.00,0.00,-14.00,0.00,4.00,67.00,3633.00,86.00,252.00,66.00,91.00,67.00,82.00,68.00,20.00,6.00,-2.00,0.00,49.00,506.00,1894.00,317.00,0.00,0.00,0.00,-19.00,0.00,88.00,0.00,62.00,0.00,0.00,-305.00
1954:Q4,2773.00,26.00,322.00,0.00,1771.00,326.00,69.00,-257.00,-57.00,-4.00,18.00,150.00,52.00,169.00,405.00,0.00,-4.00,0.00,-223.00,10.00,3729.00,95.00,100.00,65.00,103.00,103.00,-40.00,444.00,-32.00,12.00,-3.00,0.00,47.00,455.00,1844.00,326.00,0.00,0.00,0.00,88.00,0.00,59.00,0.00,63.00,0.00,0.00,-956.00
1955:Q1,3434.00,30.00,-158.00,0.00,1925.00,354.00,-17.00,155.00,11.00,1.00,13.00,169.00,102.00,91.00,353.00,0.00,-4.00,0.00,307.00,102.00,3366.00,142.00,389.00,63.00,-102.00,102.00,7.00,-124.00,17.00,2.00,-1.00,0.00,43.00,463.00,1914.00,354.00,0.00,0.00,0.00,-15.00,0.00,95.00,0.00,17.00,0.00,0.00,68.00
1955:Q2,4641.00,34.00,450.00,0.00,1458.00,382.00,-1.00,550.00,22.00,2.00,15.00,182.00,187.00,46.00,1128.00,0.00,-5.00,0.00,92.00,99.00,3775.00,108.00,365.00,63.00,-72.00,99.00,-2.00,490.00,-8.00,0.00,-3.00,0.00,40.00,496.00,1589.00,382.00,0.00,0.00,0.00,13.00,0.00,155.00,0.00,60.00,0.00,0.00,866.00
1955:Q3,3545.00,37.00,118.00,0.00,1653.00,346.00,-28.00,614.00,-11.00,3.00,16.00,188.00,152.00,-136.00,464.00,0.00,-5.00,0.00,59.00,75.00,3799.00,91.00,333.00,64.00,172.00,75.00,11.00,183.00,-50.00,1.00,-3.00,0.00,43.00,546.00,1711.00,346.00,0.00,0.00,0.00,-2.00,0.00,236.00,0.00,42.00,0.00,0.00,-254.00
1955:Q4,3376.00,40.00,399.00,0.00,1701.00,340.00,146.00,-395.00,2.00,3.00,18.00,185.00,169.00,2.00,876.00,0.00,-15.00,0.00,-162.00,67.00,3350.00,164.00,200.00,64.00,156.00,67.00,13.00,-220.00,-10.00,4.00,-3.00,0.00,56.00,576.00,1929.00,340.00,0.00,0.00,0.00,-4.00,0.00,2.00,0.00,16.00,0.00,0.00,27.00
1956:Q1,2744.00,43.00,-451.00,0.00,2031.00,237.00,-197.00,480.00,5.00,3.00,20.00,181.00,223.00,122.00,-570.00,0.00,-15.00,0.00,522.00,110.00,3969.00,74.00,757.00,52.00,-78.00,110.00,-39.00,207.00,105.00,3.00,-3.00,0.00,68.00,524.00,1991.00,237.00,0.00,0.00,0.00,-2.00,0.00,-93.00,0.00,56.00,0.00,0.00,-1225.00
1956:Q2,2931.00,48.00,295.00,0.00,1623.00,463.00,2.00,109.00,3.00,6.00,20.00,175.00,226.00,49.00,-9.00,0.00,-13.00,0.00,-187.00,121.00,3605.00,109.00,323.00,49.00,-100.00,118.00,110.00,129.00,89.00,3.00,-3.00,0.00,82.00,537.00,1726.00,463.00,0.00,0.00,0.00,17.00,0.00,-15.00,0.00,-32.00,0.00,0.00,-675.00
1956:Q3,2853.00,49.00,161.00,0.00,1840.00,495.00,-97.00,390.00,-14.00,5.00,22.00,184.00,67.00,-110.00,-297.00,0.00,-3.00,0.00,-59.00,220.00,3735.00,77.00,337.00,49.00,175.00,220.00,61.00,-72.00,77.00,5.00,-2.00,0.00,83.00,614.00,1582.00,495.00,0.00,0.00,0.00,-12.00,0.00,71.00,0.00,-25.00,0.00,0.00,-882.00
1956:Q4,2522.00,47.00,-44.00,0.00,2198.00,525.00,197.00,-695.00,-28.00,6.00,22.00,209.00,139.00,197.00,-202.00,0.00,-3.00,0.00,-193.00,147.00,4020.00,115.00,177.00,55.00,67.00,147.00,-28.00,7.00,32.00,8.00,-4.00,0.00,73.00,753.00,2207.00,525.00,0.00,0.00,0.00,-20.00,0.00,-97.00,0.00,3.00,0.00,0.00,-1498.00
1957:Q1,3575.00,45.00,-213.00,0.00,1864.00,383.00,-102.00,413.00,3.00,7.00,23.00,236.00,157.00,42.00,44.00,0.00,-12.00,0.00,428.00,257.00,3834.00,124.00,428.00,59.00,-154.00,332.00,-105.00,-210.00,1.00,14.00,-3.00,0.00,65.00,938.00,2220.00,383.00,0.00,0.00,0.00,4.00,0.00,-217.00,0.00,-45.00,0.00,0.00,-259.00
1957:Q2,3721.00,46.00,294.00,0.00,2223.00,402.00,-250.00,165.00,14.00,8.00,25.00,266.00,211.00,56.00,180.00,0.00,-1.00,0.00,-213.00,295.00,4522.00,81.00,45.00,66.00,-157.00,288.00,-8.00,598.00,43.00,20.00,-3.00,0.00,61.00,1123.00,2031.00,402.00,0.00,0.00,0.00,1.00,0.00,-97.00,0.00,28.00,0.00,0.00,-801.00
1957:Q3,3709.00,44.00,256.00,0.00,2033.00,368.00,216.00,635.00,-74.00,8.00,28.00,269.00,110.00,-145.00,-260.00,0.00,-1.00,0.00,89.00,133.00,4502.00,75.00,291.00,60.00,154.00,133.00,-2.00,-111.00,-20.00,21.00,-2.00,0.00,58.00,1167.00,2367.00,368.00,0.00,0.00,0.00,7.00,0.00,-7.00,0.00,-57.00,0.00,0.00,-792.00
1957:Q4,2867.00,39.00,24.00,0.00,2532.00,465.00,-3.00,-633.00,-59.00,4.00,31.00,246.00,171.00,174.00,-58.00,0.00,-11.00,0.00,6.00,-61.00,4452.00,83.00,231.00,51.00,164.00,-61.00,98.00,22.00,30.00,23.00,-5.00,0.00,54.00,1014.00,2373.00,465.00,0.00,0.00,0.00,-8.00,0.00,-38.00,0.00,-44.00,0.00,0.00,-1585.00
1958:Q1,2727.00,34.00,-332.00,0.00,2008.00,332.00,39.00,184.00,23.00,5.00,35.00,222.00,94.00,378.00,-710.00,0.00,0.00,0.00,294.00,121.00,4099.00,116.00,273.00,50.00,-220.00,121.00,-49.00,292.00,23.00,10.00,-3.00,0.00,51.00,723.00,2251.00,332.00,0.00,0.00,0.00,-2.00,0.00,108.00,0.00,23.00,0.00,0.00,-1372.00
1958:Q2,4573.00,26.00,219.00,0.00,2353.00,600.00,428.00,189.00,92.00,6.00,33.00,198.00,324.00,150.00,-316.00,0.00,0.00,0.00,85.00,186.00,5175.00,18.00,555.00,38.00,-195.00,182.00,0.00,1049.00,82.00,5.00,-3.00,0.00,41.00,522.00,2111.00,600.00,0.00,0.00,0.00,16.00,0.00,109.00,0.00,45.00,0.00,0.00,-603.00
1958:Q3,4196.00,28.00,531.00,0.00,2010.00,488.00,-387.00,943.00,-14.00,4.00,33.00,202.00,144.00,-272.00,371.00,0.00,-10.00,0.00,18.00,106.00,3206.00,119.00,356.00,48.00,121.00,100.00,-15.00,-954.00,72.00,3.00,-2.00,0.00,46.00,444.00,2195.00,488.00,0.00,0.00,0.00,4.00,0.00,109.00,0.00,72.00,0.00,0.00,989.00
1958:Q4,3516.00,38.00,268.00,0.00,2459.00,464.00,107.00,-268.00,-12.00,0.00,33.00,234.00,2.00,7.00,558.00,0.00,2.00,0.00,-302.00,-74.00,4558.00,78.00,162.00,49.00,215.00,-74.00,-4.00,565.00,-17.00,6.00,-5.00,0.00,60.00,496.00,2422.00,464.00,0.00,0.00,0.00,2.00,0.00,105.00,0.00,34.00,0.00,0.00,-1042.00
1959:Q1,3985.00,48.00,5.00,0.00,1920.00,451.00,138.00,1046.00,6.00,-3.00,27.00,267.00,-11.00,119.00,-200.00,0.00,-14.00,0.00,130.00,56.00,5024.00,137.00,882.00,63.00,28.00,59.00,5.00,-4.00,143.00,5.00,-3.00,0.00,77.00,722.00,2372.00,451.00,0.00,0.00,0.00,-12.00,0.00,103.00,0.00,-3.00,0.00,0.00,-1039.00
1959:Q2,3640.00,57.00,34.00,0.00,2294.00,560.00,-226.00,547.00,4.00,-8.00,26.00,301.00,53.00,-16.00,-130.00,0.00,-3.00,0.00,18.00,129.00,5337.00,134.00,719.00,70.00,-37.00,132.00,34.00,589.00,200.00,4.00,-4.00,0.00,94.00,724.00,2178.00,560.00,0.00,0.00,0.00,8.00,0.00,-70.00,0.00,2.00,0.00,0.00,-1697.00
1959:Q3,3654.00,59.00,117.00,0.00,1932.00,385.00,45.00,761.00,-43.00,-9.00,27.00,303.00,3.00,-239.00,280.00,0.00,-12.00,0.00,217.00,-172.00,4530.00,148.00,480.00,80.00,9.00,-179.00,40.00,2.00,162.00,4.00,-3.00,0.00,97.00,905.00,2297.00,385.00,0.00,0.00,0.00,26.00,0.00,95.00,0.00,-17.00,0.00,0.00,-876.00
1959:Q4,3210.00,54.00,122.00,0.00,2702.00,504.00,329.00,-1080.00,-46.00,-9.00,29.00,273.00,177.00,123.00,523.00,0.00,1.00,0.00,-491.00,-1.00,2128.00,140.00,-210.00,66.00,11.00,1.00,44.00,-1383.00,-513.00,19.00,-5.00,0.00,87.00,666.00,2605.00,504.00,0.00,0.00,0.00,21.00,0.00,69.00,0.00,6.00,0.00,0.00,1082.00
1960:Q1,3597.00,51.00,-137.00,0.00,2321.00,384.00,-363.00,471.00,-46.00,-1.00,33.00,249.00,311.00,60.00,-1020.00,0.00,-18.00,0.00,1161.00,141.00,4541.00,126.00,1234.00,54.00,-9.00,141.00,2.00,-734.00,140.00,6.00,-3.00,0.00,79.00,610.00,2559.00,384.00,0.00,0.00,0.00,-20.00,0.00,19.00,0.00,-47.00,0.00,0.00,-943.00
1960:Q2,3575.00,50.00,69.00,0.00,2318.00,505.00,504.00,-1012.00,80.00,2.00,31.00,231.00,282.00,211.00,34.00,0.00,-8.00,0.00,48.00,230.00,3029.00,122.00,-826.00,40.00,6.00,232.00,170.00,238.00,116.00,6.00,-4.00,0.00,72.00,454.00,1991.00,505.00,0.00,0.00,0.00,17.00,0.00,-106.00,0.00,-4.00,0.00,0.00,546.00
1960:Q3,3672.00,48.00,59.00,0.00,2518.00,642.00,-494.00,255.00,-137.00,5.00,26.00,221.00,181.00,58.00,119.00,0.00,-7.00,0.00,83.00,95.00,4200.00,134.00,181.00,52.00,32.00,99.00,-151.00,201.00,-67.00,7.00,-2.00,0.00,72.00,288.00,2639.00,642.00,0.00,0.00,0.00,32.00,0.00,74.00,0.00,-32.00,0.00,0.00,-528.00
1960:Q4,2745.00,43.00,82.00,0.00,2803.00,526.00,196.00,-1296.00,-94.00,4.00,22.00,220.00,169.00,202.00,-16.00,0.00,-8.00,0.00,-324.00,216.00,4308.00,149.00,-239.00,51.00,22.00,221.00,-67.00,985.00,-47.00,14.00,-6.00,0.00,76.00,-35.00,2729.00,526.00,0.00,0.00,0.00,-26.00,0.00,-76.00,0.00,30.00,0.00,0.00,-1563.00
1961:Q1,5594.00,38.00,93.00,0.00,2580.00,418.00,-122.00,1260.00,-47.00,6.00,26.00,215.00,227.00,272.00,3.00,0.00,-14.00,0.00,561.00,77.00,2444.00,149.00,305.00,59.00,36.00,77.00,-9.00,-1188.00,-390.00,11.00,-3.00,0.00,82.00,137.00,2713.00,418.00,0.00,0.00,0.00,4.00,0.00,-10.00,0.00,52.00,0.00,0.00,3150.00
1961:Q2,3355.00,31.00,119.00,0.00,2304.00,565.00,-77.00,-297.00,-40.00,9.00,25.00,210.00,349.00,41.00,143.00,0.00,-4.00,0.00,-126.00,103.00,6242.00,162.00,494.00,62.00,-22.00,107.00,-31.00,2778.00,66.00,16.00,-4.00,0.00,87.00,-156.00,2054.00,565.00,0.00,0.00,0.00,10.00,0.00,65.00,0.00,-12.00,0.00,0.00,-2887.00
1961:Q3,4726.00,30.00,151.00,0.00,2455.00,620.00,-99.00,965.00,-50.00,9.00,23.00,203.00,239.00,-135.00,297.00,0.00,-1.00,0.00,5.00,14.00,2149.00,160.00,-132.00,73.00,-35.00,3.00,45.00,-1569.00,-29.00,16.00,-3.00,0.00,86.00,-190.00,2849.00,620.00,0.00,0.00,0.00,4.00,0.00,258.00,0.00,-8.00,0.00,0.00,2578.00
1961:Q4,3922.00,34.00,146.00,0.00,3071.00,720.00,196.00,-411.00,-93.00,8.00,18.00,196.00,120.00,235.00,249.00,0.00,0.00,0.00,-805.00,238.00,3860.00,163.00,-784.00,51.00,6.00,239.00,-33.00,704.00,-52.00,18.00,-6.00,0.00,76.00,-468.00,2954.00,720.00,0.00,0.00,0.00,3.00,0.00,274.00,0.00,-6.00,0.00,0.00,63.00
1962:Q1,6175.00,37.00,138.00,0.00,3045.00,390.00,-58.00,1420.00,-22.00,3.00,13.00,180.00,66.00,-54.00,-61.00,0.00,-15.00,0.00,1044.00,48.00,2947.00,136.00,864.00,43.00,7.00,49.00,58.00,-1093.00,-3.00,8.00,-4.00,0.00,70.00,-369.00,2896.00,390.00,0.00,0.00,0.00,-1.00,0.00,-87.00,0.00,-18.00,0.00,0.00,3228.00
1962:Q2,3673.00,38.00,165.00,0.00,1952.00,639.00,45.00,-434.00,41.00,1.00,12.00,157.00,256.00,146.00,554.00,0.00,-3.00,0.00,-47.00,151.00,4567.00,143.00,-54.00,24.00,-54.00,153.00,179.00,1874.00,-11.00,4.00,-3.00,0.00,60.00,-770.00,2165.00,639.00,0.00,0.00,0.00,-2.00,0.00,237.00,0.00,-18.00,0.00,0.00,-894.00
1962:Q3,5723.00,39.00,155.00,0.00,3221.00,664.00,-10.00,721.00,64.00,1.00,6.00,165.00,233.00,-294.00,442.00,0.00,-14.00,0.00,255.00,75.00,3635.00,143.00,208.00,42.00,-41.00,64.00,-4.00,-423.00,-3.00,6.00,-3.00,0.00,59.00,-415.00,3078.00,664.00,0.00,0.00,0.00,20.00,0.00,248.00,0.00,-9.00,0.00,0.00,2089.00
1962:Q4,3529.00,41.00,135.00,0.00,2872.00,811.00,125.00,-1229.00,-35.00,2.00,2.00,202.00,457.00,299.00,88.00,0.00,-3.00,0.00,-332.00,93.00,3688.00,157.00,-342.00,49.00,-39.00,95.00,-81.00,414.00,165.00,14.00,-6.00,0.00,69.00,-676.00,3056.00,811.00,0.00,0.00,0.00,-4.00,0.00,-7.00,0.00,12.00,0.00,0.00,-159.00
1963:Q1,6795.00,44.00,261.00,0.00,3116.00,696.00,-222.00,1495.00,57.00,1.00,1.00,254.00,31.00,155.00,-22.00,0.00,-5.00,0.00,883.00,50.00,3265.00,155.00,878.00,79.00,24.00,52.00,-21.00,-1255.00,-125.00,11.00,-4.00,0.00,77.00,-311.00,3052.00,696.00,0.00,0.00,0.00,-18.00,0.00,-25.00,0.00,-1.00,0.00,0.00,3531.00
