date,FA156010001.Q,FA156210005.Q,FA156012005.Q,FA156900005.Q,FA156007015.Q,FA313154015.Q,FA156600075.Q,FA155111005.Q,FA156300005.Q,FA155440005.Q,FA156000105.Q,FA155090005.Q,FA155050005.Q,FA155111003.Q,FA155012005.Q,FA165013005.Q,FA155420003.Q,FA155000005.Q,FA154090005.Q,FA153091003.Q,FA153020005.Q,FA153030005.Q,FA153034005.Q,FA154022005.Q,FA153061105.Q,FA153061705.Q,FA153062005.Q,FA153063005.Q,FA154023005.Q,FA153069005.Q,FA153065005.Q,FA163066223.Q,FA153064105.Q,FA153064205.Q,FA163070005.Q,FA153040005.Q,FA153050005.Q,FA152090205.Q,FA153090005.Q,FA154190005.Q,FA163162003.Q,FA154123005.Q,FA153165105.Q,FA153166000.Q,FA153168005.Q,FA153169005.Q,FA163165505.Q,FA163170005.Q,FA543077073.Q,FA157005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,182668.00,17210.00,165458.00,145883.00,19575.00,1320.00,0.00,5135.00,12997.00,878.00,38149.00,40061.00,23253.00,15862.00,6794.00,597.00,0.00,16808.00,23665.00,0.00,5198.00,6338.00,0.00,-2354.00,-1390.00,32.00,-52.00,-944.00,1561.00,39.00,1522.00,0.00,1008.00,185.00,0.00,3800.00,6555.00,571.00,803.00,6857.00,0.00,6625.00,4394.00,2977.00,-116.00,-728.00,98.00,167.00,65.00,-1912.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,194616.00,19790.00,174826.00,163804.00,11022.00,1116.00,0.00,7784.00,15600.00,996.00,34526.00,38608.00,31588.00,20447.00,10394.00,747.00,0.00,7020.00,16047.00,0.00,-120.00,3479.00,0.00,-174.00,-62.00,55.00,641.00,-808.00,1286.00,-73.00,1359.00,0.00,1079.00,163.00,0.00,3150.00,6558.00,88.00,538.00,9027.00,0.00,8846.00,5167.00,3521.00,-18.00,84.00,92.00,100.00,81.00,-4082.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,213661.00,19205.00,194456.00,177239.00,17217.00,641.00,0.00,7588.00,18750.00,1068.00,43128.00,46816.00,37442.00,22947.00,13381.00,1114.00,0.00,9374.00,18015.00,0.00,-2361.00,2201.00,0.00,914.00,752.00,-53.00,171.00,44.00,1192.00,-6.00,1198.00,0.00,915.00,148.00,0.00,2843.00,6948.00,4820.00,395.00,8641.00,0.00,8510.00,5155.00,3034.00,5.00,101.00,215.00,80.00,51.00,-3688.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,211244.00,16733.00,194511.00,180862.00,13649.00,592.00,0.00,8536.00,20262.00,915.00,42124.00,45101.00,38945.00,25176.00,12451.00,1318.00,0.00,6156.00,14456.00,0.00,-1758.00,2594.00,0.00,61.00,1439.00,-66.00,-905.00,-407.00,773.00,48.00,725.00,0.00,561.00,275.00,0.00,2751.00,7417.00,1412.00,370.00,8300.00,0.00,8198.00,4332.00,3042.00,16.00,563.00,245.00,33.00,69.00,-2977.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,233904.00,18912.00,214992.00,194982.00,20010.00,547.00,0.00,11863.00,22768.00,825.00,54363.00,57848.00,50053.00,30690.00,17692.00,1671.00,0.00,7795.00,21287.00,0.00,2579.00,2365.00,0.00,806.00,-756.00,92.00,1741.00,-271.00,965.00,269.00,696.00,0.00,766.00,211.00,0.00,2945.00,8212.00,2103.00,335.00,13492.00,0.00,13322.00,7594.00,4573.00,142.00,713.00,300.00,67.00,103.00,-3485.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,264455.00,27055.00,237400.00,211452.00,25948.00,291.00,18.00,7241.00,27249.00,940.00,59771.00,69514.00,47934.00,29961.00,16118.00,1855.00,0.00,21580.00,30246.00,0.00,4443.00,4970.00,0.00,-564.00,-1074.00,-42.00,275.00,277.00,856.00,-78.00,934.00,0.00,1545.00,266.00,0.00,2728.00,13708.00,1710.00,584.00,8666.00,0.00,8504.00,6444.00,1403.00,231.00,123.00,303.00,83.00,79.00,-9743.00
1952:Q1,274479.00,30876.00,243603.00,216183.00,27420.00,440.00,20.00,6251.00,27513.00,1034.00,60570.00,84408.00,46515.00,28967.00,15787.00,1761.00,0.00,37893.00,48407.00,0.00,5652.00,5900.00,0.00,9792.00,3828.00,16.00,6560.00,-612.00,320.00,-580.00,900.00,0.00,1224.00,524.00,0.00,2672.00,16024.00,5579.00,720.00,10514.00,0.00,10342.00,6584.00,2386.00,1000.00,172.00,200.00,96.00,76.00,-23838.00
1952:Q2,278447.00,31813.00,246634.00,220431.00,26203.00,520.00,24.00,5863.00,28198.00,1079.00,59681.00,81478.00,47158.00,29184.00,16195.00,1779.00,0.00,34320.00,47558.00,0.00,360.00,8076.00,0.00,18908.00,5680.00,2356.00,9988.00,884.00,480.00,-212.00,692.00,0.00,776.00,512.00,0.00,2832.00,14912.00,-6.00,708.00,13238.00,0.00,13062.00,6384.00,6382.00,-292.00,284.00,304.00,104.00,72.00,-21797.00
1952:Q3,285518.00,32274.00,253244.00,223146.00,30098.00,292.00,24.00,4248.00,28445.00,1103.00,61956.00,68728.00,45689.00,27735.00,16228.00,1726.00,0.00,23039.00,34813.00,0.00,4704.00,6368.00,0.00,1792.00,-960.00,1208.00,2444.00,-900.00,324.00,-72.00,396.00,0.00,544.00,524.00,0.00,2956.00,15184.00,1705.00,712.00,11774.00,0.00,11594.00,6672.00,4542.00,-112.00,188.00,304.00,104.00,76.00,-6772.00
1952:Q4,292173.00,33057.00,259116.00,231476.00,27640.00,300.00,20.00,7649.00,29132.00,1004.00,63697.00,65010.00,50524.00,31741.00,16950.00,1833.00,0.00,14486.00,28532.00,0.00,-2084.00,9552.00,0.00,-3248.00,-696.00,-3896.00,1876.00,-532.00,824.00,148.00,676.00,0.00,616.00,460.00,0.00,3092.00,15636.00,2876.00,808.00,14046.00,0.00,13874.00,7136.00,7378.00,-1128.00,228.00,260.00,92.00,80.00,-1313.00
1953:Q1,296697.00,33411.00,263286.00,235288.00,27998.00,336.00,24.00,10097.00,28687.00,1224.00,65870.00,81866.00,52735.00,33660.00,17193.00,1882.00,0.00,29131.00,47032.00,0.00,12496.00,8300.00,0.00,1436.00,-1204.00,52.00,3192.00,-604.00,2184.00,92.00,2092.00,0.00,888.00,492.00,0.00,3096.00,15848.00,1568.00,724.00,17901.00,0.00,17729.00,7508.00,7897.00,1160.00,856.00,308.00,84.00,88.00,-15996.00
1953:Q2,300570.00,33439.00,267131.00,237268.00,29863.00,312.00,24.00,9297.00,29405.00,1052.00,67801.00,89516.00,52710.00,33501.00,17277.00,1932.00,0.00,36806.00,50391.00,0.00,-5776.00,9436.00,0.00,24976.00,16684.00,3100.00,4124.00,1068.00,352.00,-392.00,744.00,0.00,1388.00,332.00,0.00,3040.00,16428.00,-453.00,668.00,13585.00,0.00,13417.00,8356.00,3529.00,252.00,984.00,296.00,76.00,92.00,-21715.00
1953:Q3,300499.00,33187.00,267312.00,238122.00,29190.00,296.00,24.00,8467.00,29885.00,1113.00,66701.00,69877.00,51845.00,33078.00,16789.00,1978.00,0.00,18032.00,28037.00,0.00,3732.00,6492.00,0.00,-3756.00,-6312.00,1468.00,2548.00,-1460.00,144.00,96.00,48.00,0.00,116.00,336.00,0.00,2952.00,16704.00,717.00,600.00,10005.00,0.00,9833.00,7188.00,3097.00,-648.00,-56.00,252.00,76.00,96.00,-3176.00
1953:Q4,300503.00,32931.00,267572.00,237653.00,29919.00,368.00,20.00,7424.00,30143.00,1203.00,66631.00,68381.00,50802.00,32222.00,16592.00,1988.00,0.00,17579.00,27004.00,0.00,-5204.00,8712.00,0.00,-7816.00,-6572.00,-4000.00,1800.00,956.00,1280.00,180.00,1100.00,0.00,-100.00,372.00,0.00,2840.00,16512.00,9820.00,588.00,9425.00,0.00,9253.00,7016.00,1845.00,-520.00,584.00,328.00,80.00,92.00,-1750.00
1954:Q1,300492.00,30196.00,270296.00,239661.00,30635.00,148.00,24.00,5759.00,31488.00,1195.00,66811.00,75147.00,50801.00,31831.00,16715.00,2255.00,0.00,24346.00,32975.00,0.00,3392.00,8632.00,0.00,1220.00,1012.00,-284.00,1564.00,-1072.00,1904.00,312.00,1592.00,0.00,108.00,340.00,0.00,2768.00,15896.00,-1745.00,460.00,8629.00,0.00,8461.00,6836.00,-739.00,1636.00,360.00,368.00,84.00,84.00,-8336.00
1954:Q2,300169.00,29977.00,270192.00,242419.00,27773.00,-56.00,24.00,5815.00,32222.00,1142.00,64588.00,80784.00,52637.00,32541.00,17850.00,2246.00,0.00,28147.00,40916.00,0.00,2904.00,10760.00,0.00,9424.00,5344.00,2628.00,1840.00,-388.00,1208.00,188.00,1020.00,0.00,700.00,200.00,0.00,2716.00,15744.00,-3056.00,316.00,12769.00,0.00,12605.00,10780.00,1249.00,-716.00,900.00,392.00,88.00,76.00,-16196.00
1954:Q3,302162.00,30005.00,272157.00,245134.00,27023.00,-508.00,28.00,5617.00,32115.00,1143.00,63076.00,66357.00,53553.00,32142.00,19153.00,2258.00,0.00,12804.00,24053.00,0.00,9684.00,6536.00,0.00,-9396.00,-11596.00,1192.00,1604.00,-596.00,976.00,344.00,632.00,0.00,-48.00,496.00,0.00,2676.00,15852.00,-3067.00,344.00,11249.00,0.00,11077.00,7624.00,1305.00,632.00,1216.00,300.00,88.00,84.00,-3281.00
1954:Q4,307552.00,30462.00,277090.00,249786.00,27304.00,-192.00,28.00,7369.00,32239.00,1172.00,65520.00,62152.00,56523.00,33914.00,20356.00,2253.00,0.00,5629.00,22594.00,0.00,-7668.00,11256.00,0.00,-5256.00,-2564.00,-3564.00,3356.00,-2484.00,1712.00,404.00,1308.00,0.00,-776.00,648.00,0.00,2648.00,16116.00,3534.00,380.00,16965.00,0.00,16777.00,12172.00,3581.00,-764.00,1728.00,60.00,84.00,104.00,3368.00
1955:Q1,313932.00,31412.00,282520.00,256251.00,26269.00,-312.00,24.00,9003.00,33412.00,1244.00,67104.00,85071.00,60890.00,36601.00,22042.00,2247.00,0.00,24181.00,46850.00,0.00,8604.00,9120.00,0.00,6568.00,6120.00,-728.00,1584.00,-408.00,2288.00,12.00,2276.00,0.00,812.00,508.00,0.00,2728.00,16208.00,-554.00,568.00,22669.00,0.00,22469.00,12776.00,6153.00,1844.00,1580.00,116.00,80.00,120.00,-17967.00
1955:Q2,321480.00,32429.00,289051.00,261576.00,27475.00,-64.00,28.00,10725.00,33983.00,1116.00,70975.00,79608.00,63643.00,38764.00,22530.00,2349.00,0.00,15965.00,39370.00,0.00,-3684.00,9324.00,0.00,18112.00,11360.00,2748.00,4796.00,-792.00,472.00,-440.00,912.00,0.00,-784.00,464.00,0.00,2836.00,16816.00,-4618.00,432.00,23405.00,0.00,23197.00,13356.00,8169.00,1816.00,440.00,-584.00,72.00,136.00,-8633.00
1955:Q3,328893.00,33364.00,295529.00,266012.00,29517.00,28.00,24.00,11869.00,34610.00,1244.00,74756.00,77097.00,65080.00,40395.00,22207.00,2478.00,0.00,12017.00,33486.00,0.00,6560.00,5844.00,0.00,1912.00,-2764.00,1452.00,2708.00,516.00,620.00,288.00,332.00,0.00,-184.00,728.00,0.00,3032.00,17212.00,-2602.00,364.00,21469.00,0.00,21241.00,12480.00,7577.00,720.00,596.00,-132.00,80.00,148.00,-2341.00
1955:Q4,334036.00,34231.00,299805.00,270211.00,29594.00,124.00,28.00,10241.00,35430.00,1408.00,73953.00,74611.00,63303.00,39435.00,21266.00,2602.00,0.00,11308.00,29101.00,0.00,-6916.00,10116.00,0.00,-404.00,-3692.00,-1640.00,3752.00,1176.00,1344.00,-344.00,1688.00,0.00,36.00,588.00,0.00,3024.00,17188.00,3469.00,656.00,17793.00,0.00,17533.00,11708.00,6045.00,116.00,48.00,-384.00,100.00,160.00,-658.00
1956:Q1,339502.00,35367.00,304135.00,272003.00,32132.00,400.00,28.00,6306.00,37662.00,1471.00,75001.00,93395.00,60989.00,37570.00,20807.00,2612.00,0.00,32406.00,50495.00,0.00,6732.00,9540.00,0.00,8056.00,6040.00,164.00,1084.00,768.00,3032.00,292.00,2740.00,0.00,280.00,1204.00,0.00,3400.00,17204.00,751.00,296.00,18089.00,0.00,17789.00,11036.00,5397.00,40.00,228.00,1088.00,128.00,172.00,-18394.00
1956:Q2,345338.00,36239.00,309099.00,274804.00,34295.00,420.00,32.00,6002.00,38253.00,1723.00,77215.00,93424.00,61427.00,37708.00,21026.00,2693.00,0.00,31997.00,47310.00,0.00,0.00,10924.00,0.00,17796.00,8716.00,3084.00,4204.00,1792.00,1104.00,-548.00,1652.00,0.00,-1876.00,108.00,0.00,3636.00,17624.00,-2442.00,436.00,15313.00,0.00,14965.00,11388.00,3445.00,-736.00,344.00,524.00,156.00,192.00,-16209.00
1956:Q3,350602.00,36901.00,313701.00,278109.00,35592.00,388.00,32.00,5499.00,38758.00,1619.00,78586.00,80175.00,61012.00,37581.00,20646.00,2785.00,0.00,19163.00,32404.00,0.00,3456.00,6064.00,0.00,-316.00,-5108.00,1408.00,2704.00,680.00,660.00,128.00,532.00,0.00,-96.00,1364.00,0.00,3564.00,18800.00,-1400.00,308.00,13241.00,0.00,12881.00,10408.00,2953.00,-1548.00,196.00,872.00,164.00,196.00,-1589.00
1956:Q4,358205.00,37857.00,320348.00,283579.00,36769.00,372.00,28.00,6478.00,39610.00,1603.00,81598.00,84021.00,62410.00,39297.00,20301.00,2812.00,0.00,21611.00,35664.00,0.00,-2800.00,11260.00,0.00,-3144.00,-4120.00,-3240.00,2912.00,1304.00,1544.00,60.00,1484.00,0.00,1008.00,468.00,0.00,3280.00,20424.00,3164.00,460.00,14053.00,0.00,13717.00,10404.00,2729.00,-228.00,516.00,296.00,148.00,188.00,-2423.00
1957:Q1,362757.00,38578.00,324179.00,288169.00,36010.00,324.00,32.00,8506.00,38393.00,1650.00,81551.00,100897.00,62650.00,40011.00,19639.00,3000.00,0.00,38247.00,54786.00,0.00,4908.00,14116.00,0.00,6280.00,1628.00,-356.00,2036.00,2972.00,2864.00,-268.00,3132.00,0.00,-376.00,892.00,0.00,2976.00,21516.00,1114.00,496.00,16539.00,0.00,16227.00,9940.00,3195.00,3136.00,-112.00,68.00,132.00,180.00,-19346.00
1957:Q2,367506.00,38965.00,328541.00,290520.00,38021.00,-128.00,32.00,7498.00,39090.00,1910.00,82539.00,101396.00,61856.00,39608.00,19226.00,3022.00,0.00,39540.00,53671.00,0.00,-3160.00,12972.00,0.00,15120.00,9844.00,2652.00,1876.00,748.00,1548.00,-4.00,1552.00,0.00,460.00,860.00,0.00,2668.00,22912.00,-33.00,324.00,14131.00,0.00,13823.00,8180.00,3027.00,1192.00,1244.00,180.00,124.00,184.00,-18857.00
1957:Q3,372180.00,39197.00,332983.00,295167.00,37816.00,112.00,32.00,6478.00,39913.00,1880.00,82407.00,86422.00,61495.00,39331.00,19101.00,3063.00,0.00,24927.00,36974.00,0.00,2884.00,6984.00,0.00,496.00,-2972.00,260.00,1964.00,1244.00,1368.00,76.00,1292.00,0.00,-1960.00,860.00,0.00,2596.00,23364.00,82.00,300.00,12047.00,0.00,11747.00,8340.00,2971.00,-404.00,40.00,800.00,124.00,176.00,-4015.00
1957:Q4,371507.00,38804.00,332703.00,296844.00,35859.00,116.00,28.00,5843.00,40238.00,1708.00,80320.00,83921.00,60974.00,38947.00,18996.00,3031.00,0.00,22947.00,30134.00,0.00,-8068.00,13676.00,0.00,-2688.00,-3372.00,-540.00,1928.00,-704.00,2092.00,244.00,1848.00,0.00,-1824.00,728.00,0.00,2712.00,22764.00,410.00,332.00,7187.00,0.00,6899.00,8056.00,1355.00,-2376.00,-668.00,532.00,132.00,156.00,-3601.00
1958:Q1,372422.00,38178.00,334244.00,296397.00,37847.00,132.00,36.00,1825.00,41944.00,1751.00,79961.00,101823.00,57373.00,36569.00,17467.00,3337.00,0.00,44450.00,53591.00,0.00,7888.00,15412.00,0.00,-144.00,-3652.00,-1268.00,1548.00,3228.00,3184.00,228.00,2956.00,0.00,-1964.00,1304.00,0.00,2884.00,21576.00,2987.00,464.00,9141.00,0.00,8861.00,8100.00,-1263.00,-828.00,1560.00,1292.00,144.00,136.00,-21862.00
1958:Q2,374785.00,37696.00,337089.00,299246.00,37843.00,-516.00,36.00,347.00,42793.00,1693.00,78738.00,90820.00,56562.00,35862.00,17461.00,3239.00,0.00,34258.00,42047.00,0.00,-8036.00,15472.00,0.00,4976.00,11224.00,-116.00,-3404.00,-2728.00,3116.00,376.00,2740.00,0.00,-1568.00,1812.00,0.00,3100.00,21216.00,1887.00,72.00,7789.00,0.00,7537.00,7940.00,-1107.00,-2660.00,2244.00,1120.00,148.00,104.00,-12082.00
1958:Q3,383085.00,38945.00,344140.00,304246.00,39894.00,584.00,36.00,1112.00,42824.00,1653.00,82725.00,87035.00,58438.00,36569.00,18676.00,3193.00,0.00,28597.00,42162.00,0.00,13916.00,11212.00,0.00,-14152.00,-17088.00,232.00,868.00,1836.00,1980.00,284.00,1696.00,0.00,-772.00,1488.00,0.00,3176.00,21616.00,3222.00,476.00,13565.00,0.00,13301.00,10400.00,781.00,1152.00,676.00,292.00,152.00,112.00,-4310.00
1958:Q4,387609.00,39376.00,348233.00,308220.00,40013.00,-84.00,40.00,2229.00,43010.00,1684.00,83444.00,86961.00,61668.00,37773.00,20617.00,3278.00,0.00,25293.00,43090.00,0.00,-2912.00,14300.00,0.00,1376.00,-1960.00,-1368.00,4048.00,656.00,3184.00,160.00,3024.00,0.00,-3384.00,1028.00,0.00,3132.00,22612.00,3442.00,312.00,17797.00,0.00,17485.00,12772.00,2681.00,1020.00,1244.00,-232.00,160.00,152.00,-3517.00
1959:Q1,394392.00,40758.00,353634.00,315792.00,37842.00,172.00,44.00,6583.00,41611.00,1691.00,84473.00,97049.00,67129.00,40618.00,23202.00,3309.00,0.00,29920.00,53491.00,0.00,8000.00,10400.00,0.00,7292.00,3144.00,32.00,2744.00,1372.00,3568.00,464.00,3104.00,0.00,-1568.00,1724.00,0.00,3184.00,23268.00,-2925.00,548.00,23571.00,0.00,22375.00,12980.00,6559.00,1256.00,604.00,976.00,1004.00,192.00,-12576.00
1959:Q2,402692.00,41986.00,360706.00,322002.00,38704.00,-716.00,40.00,7484.00,42507.00,1732.00,86207.00,101413.00,69783.00,42307.00,24048.00,3428.00,0.00,31630.00,52905.00,0.00,3988.00,13544.00,0.00,14324.00,7772.00,3644.00,3340.00,-432.00,1492.00,-616.00,2108.00,0.00,-2472.00,1224.00,0.00,3208.00,24788.00,-7727.00,536.00,21275.00,0.00,20887.00,12880.00,6779.00,-392.00,972.00,648.00,160.00,228.00,-15206.00
1959:Q3,405030.00,42679.00,362351.00,327449.00,34902.00,1068.00,40.00,7918.00,42987.00,1882.00,84953.00,84454.00,70305.00,43118.00,23645.00,3542.00,0.00,14149.00,38760.00,0.00,7772.00,8060.00,0.00,2668.00,-2644.00,2288.00,2884.00,140.00,728.00,-348.00,1076.00,0.00,-4536.00,1484.00,0.00,3444.00,25376.00,-6828.00,592.00,24611.00,0.00,24175.00,13692.00,8139.00,1940.00,-4.00,408.00,200.00,236.00,499.00
1959:Q4,410666.00,43733.00,366933.00,329789.00,37144.00,-268.00,36.00,5579.00,43349.00,1915.00,83853.00,78639.00,67574.00,41040.00,23004.00,3530.00,0.00,11065.00,32272.00,0.00,-10116.00,10108.00,0.00,9824.00,3760.00,-228.00,6020.00,272.00,-3468.00,-5556.00,2088.00,0.00,-4308.00,1244.00,0.00,3848.00,25172.00,-592.00,560.00,21207.00,0.00,20791.00,12588.00,9415.00,-2064.00,888.00,-36.00,200.00,216.00,5214.00
1960:Q1,417101.00,45292.00,371809.00,333479.00,38330.00,88.00,32.00,5594.00,44816.00,2010.00,86786.00,109843.00,69419.00,42424.00,23920.00,3713.00,-638.00,40424.00,59248.00,0.00,4636.00,9608.00,0.00,16332.00,12116.00,-2916.00,1844.00,5288.00,1944.00,-1452.00,3396.00,0.00,-2728.00,1272.00,0.00,3756.00,24124.00,-200.00,504.00,18824.00,0.00,18460.00,11876.00,3428.00,1860.00,-464.00,1760.00,160.00,204.00,-23057.00
1960:Q2,422125.00,46028.00,376097.00,339578.00,36519.00,360.00,32.00,6173.00,45240.00,2247.00,86013.00,100296.00,68416.00,43337.00,21935.00,3796.00,-652.00,31880.00,51060.00,0.00,308.00,12820.00,0.00,13080.00,3728.00,2216.00,5252.00,1884.00,1764.00,-704.00,2468.00,0.00,-4040.00,1412.00,0.00,3508.00,23492.00,-1772.00,488.00,19180.00,0.00,18780.00,10092.00,6116.00,796.00,1244.00,532.00,200.00,200.00,-14283.00
1960:Q3,424740.00,46528.00,378212.00,339710.00,38502.00,84.00,36.00,5326.00,45698.00,2145.00,87429.00,85414.00,67057.00,42862.00,21091.00,3775.00,-671.00,18357.00,36441.00,0.00,6136.00,13220.00,0.00,-9668.00,-8724.00,-1944.00,692.00,308.00,3488.00,1428.00,2060.00,0.00,-3900.00,1072.00,0.00,3068.00,23344.00,-855.00,536.00,18084.00,0.00,17972.00,11700.00,3932.00,676.00,1112.00,552.00,-80.00,192.00,2015.00
1960:Q4,426167.00,46424.00,379743.00,341791.00,37952.00,-316.00,36.00,3910.00,46041.00,2566.00,84985.00,85023.00,65704.00,41708.00,20862.00,3829.00,-695.00,19319.00,34623.00,0.00,-3088.00,12096.00,0.00,-2080.00,-4680.00,-2292.00,2792.00,2100.00,5524.00,2352.00,3172.00,0.00,-4424.00,440.00,0.00,2580.00,23700.00,-721.00,596.00,15304.00,0.00,14972.00,11448.00,2664.00,-540.00,888.00,512.00,160.00,172.00,-38.00
1961:Q1,430650.00,46511.00,384139.00,342396.00,41743.00,-56.00,48.00,1455.00,46218.00,2551.00,86761.00,87080.00,63051.00,39355.00,20561.00,3865.00,-730.00,24029.00,43290.00,0.00,6496.00,22264.00,0.00,-9316.00,-4944.00,-3112.00,-1368.00,108.00,2056.00,-2620.00,4676.00,0.00,-1516.00,1716.00,0.00,2752.00,23396.00,-5154.00,596.00,19261.00,0.00,19109.00,11128.00,1685.00,3528.00,2284.00,484.00,0.00,152.00,-319.00
